Booking_ID,Type,Restaurant_ID,Restaurant_Name,Neighborhood,City,Table_ID,Table_Selection_Type,Guests,Date,Time,Status,Amount_INR,User_ID,Created_At,Confirmed_At
6a898a960f1f6ad24c064331,Table Reservation,1,Spice Garden,"MG Road, Bangalore",Bangalore,T2,Visual Floor Plan,2,2026-08-22,7:30 PM,confirmed,450,2g1QbEA3gHdSrfp4AvXTKvou0F73,2026-08-22T11:40:05.897Z,2026-08-22T11:40:23.750Z
6a8430760f1f6ad24c060b7b,Table Reservation,6a65c2062d06e0714d0045fe,Loco Lane,"Koramangala, Bangalore",Bangalore,T4,Visual Floor Plan,2,2026-08-18,7:30 PM,cancelled,0,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2026-08-18T10:14:14.436Z,2026-08-18T10:14:31.063Z
6a8326960f1f6ad24c05f859,Table Reservation,1,Spice Garden,"MG Road, Bangalore",Bangalore,T4,Visual Floor Plan,3,2026-08-18,7:00 PM,confirmed,450,2g1QbEA3gHdSrfp4AvXTKvou0F73,2026-08-17T15:19:50.615Z,2026-08-17T15:20:40.492Z
6a7693d0f045bda74185e2fa,Table Reservation,6a65c2062d06e0714d0045fe,Loco Lane,"Koramangala, Bangalore",Bangalore,T1,Visual Floor Plan,2,2026-08-08,10:30 PM,reserved,0,4CeLjqeptHQY2zuMoFeH8TlUKsy1,2026-08-08T02:26:24.117Z,
6a755531f045bda74185dbe7,Table Reservation,6,Burger Junction,"Marathahalli, Bangalore",Bangalore,T6,Visual Floor Plan,2,2026-08-07,9:30 PM,confirmed,275,tNhXtWeGmagRfkPrcRG0ck6byBo2,2026-08-07T03:46:57.456Z,2026-08-07T03:47:10.462Z
6a755508f045bda74185dbe6,Table Reservation,3,Biryani House,"Koramangala, Bangalore",Bangalore,T7,Visual Floor Plan,3,2026-08-07,1:30 PM,confirmed,350,OAfglRMxOiYJ6Qfj8YdYTbfCSEJ2,2026-08-07T03:46:16.671Z,2026-08-07T03:46:56.959Z
6a66204c9d97788cef0371b4,Table Reservation,6a65c2062d06e0714d0045fe,Loco Lane,"Koramangala, Bangalore",Bangalore,T3,Visual Floor Plan,2,2026-07-26,9:00 PM,confirmed,550,YuMRWok48sSXHTjQ3FaPPpnpXFu2,2026-07-26T14:57:16.306Z,2026-07-26T14:57:55.760Z
6a65d3bc9d97788cef035e4a,Table Reservation,6a65c2062d06e0714d0045fe,Loco Lane,"Koramangala, Bangalore",Bangalore,T3,Visual Floor Plan,2,2026-07-26,6:00 PM,cancelled,0,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2026-07-26T09:30:36.144Z,2026-07-26T09:30:52.138Z
6a64ae9c9d97788cef032bcf,Table Reservation,6980d6a6ae7ec40527e24999,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,T3,Visual Floor Plan,2,2026-07-25,Night,confirmed,600,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2026-07-25T12:39:56.343Z,2026-07-25T12:40:15.004Z
6a636e2f9d97788cef03157d,Table Reservation,6980d6a6ae7ec40527e24999,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,T4,Visual Floor Plan,2,2026-07-24,Night,cancelled,0,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2026-07-24T14:16:17.272Z,2026-07-24T14:16:31.055Z
6a5740097e8b8b22c3218731,Table Reservation,6980d6a6ae7ec40527e24999,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,T5,Visual Floor Plan,2,2026-07-15,Afternoon,cancelled,0,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2026-07-15T08:08:41.653Z,2026-07-15T08:09:43.355Z
6a48df0641b363de0ab927b2,Table Reservation,6980d6a6ae7ec40527e24999,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,T5,Visual Floor Plan,2,2026-07-04,Night,cancelled,0,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2026-07-04T10:23:02.850Z,2026-07-04T10:23:18.291Z
6a100903565b3dfd731e1f0d,Table Reservation,6980d6a6ae7ec40527e24999,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,T3,Visual Floor Plan,2,2026-05-22,Evening,cancelled,0,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2026-05-22T07:42:59.150Z,2026-05-22T07:44:03.471Z
